################################################################################
# Pattern for testbench of the uGMT algo block
# Data format of muons:
# ID N PT PHI ETA CHARGE CHARGE_VALID QUALITY SORT EMPTY (ISO)
# where ID = {FWD+/-, OVL+/-, BAR, OUT, FIMD, BIMD, OIMD}
# N is the rank for IMD / OUT and the link for inputs.
# ISO is optional and only present for OUT
#
# Data format for tracks:
# ID ETA0 PHI0 QUALITY0 ETA1 PHI1 QUALITY1 ETA2 PHI2 QUALITY2
# where ID = {FTRK+/-, OTRK+/-, BTRK}
# Tracks are given always for 3 consecutive muons
#
#
# Data format for output of serializer:
# ID VALID0 WORD0 VALID1 WORD1 ... VALIDN WORDN
# where ID = FRMx, x being the current 240 MHz cycle
# In WordX the X represents the link number, meaning that muon0 is x(FRM0, WORD0) + x(FRM1, WORD0) << 32.
################################################################################
# Event: 0
################################################################################
# Calo sums:
CALO0   0  2  0  0  0  0  0  2  0  0  0  3  0  2  2  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  4  2
CALO1   0  0  0  0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  2  0  0  0  0  0  0  0
CALO2   0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  2  0  1  0  0  0  2  0  0  2  0  0  0
CALO3   0  0  0  0  0  0  0  1  0  0  0  0  2  0  0  0  0  0  2  2  1  2  2  0  0  0  0  0  0  2  0  0  4  0  2  0
CALO4   0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0
CALO5   0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0
CALO6   0  0  1  0  0  0  0  0  1  0  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  1  0  0  3  0
CALO7   0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0
CALO8   0  0  2  0  0  0  2  0  1  1  0  0  1  0  0  1  0  3  0  0  0  1  0  0  2  0  0  5  0  0  0  0  0  1  0  0
CALO9   0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  0
CALO11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO12  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO13  0  1  0  3  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0
CALO14  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  2  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0
CALO15  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  3  0  0  0  1  0  0  0  0  0  0  0  0  5  0  0  0
CALO16  0  1  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  1  3  3  0  1  3  0  0  0  0  0  0  0  0
CALO17  0  1  0  1  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  4  0  0  0  0  0  2  0  2  0
CALO18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO19  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  2  0  0  0  0  0  0  0  8  0  0  0  0  0  0  0  0  0
CALO20  0  1  0  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
CALO21  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  6  1  0  0  0  0  0  0
CALO22  0  0  0  0  1  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
CALO23  0  1  1  0  1  0  0  0  0  1  0  0  1  1  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  2  1  1  0  0  1
CALO24  0  0  0  0  0  1  0  0  0  1  0  0  0  3  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  2  1  0  0  1
CALO25  0  0  0  0  0  0  1  2  0  0  0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0
CALO26  0  0  0  0  0  0  0  0  0  0  0  2  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO27  0  0  0  2  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  4  0  0
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO)
FWD+       0     6    79   210     0     1     1     7     0
FWD+       1     8    39   174     0     1     3    11     0
FWD+       2    32    63   120     1     1     3    35     0
FWD+       3     4   187   160     0     1     1     5     0
FWD+       4   240   175   206     0     1     3   243     0
FWD+       5    12   191   183     0     1     3    15     0
FWD+       6   240   287   215     0     1     3   243     0
FWD+       7     4   279   201     0     1     1     5     0
FWD+       8    24   231   133     0     1     3    27     0
FWD+       9    28   315   201     0     1     3    31     0
FWD+      10    24   359   188     0     1     3    27     0
FWD+      11     0     0     0     0     0     0     0     1
FWD+      12   240   463   192     0     1     3   243     0
FWD+      13   240   411   138     0     1     1   241     0
FWD+      14     5   443   206     0     1     1     6     0
FWD+      15   240   519   206     0     1     3   243     0
FWD+      16     0     0     0     0     0     0     0     1
FWD+      17     0     0     0     0     0     0     0     1
OVL+       0    24    43   106     1     1     3    27     0
OVL+       1    70   115    80     1     1     3    73     0
OVL+       2    14    75    86     1     1     3    17     0
OVL+       3    24   195    96     0     1     3    27     0
OVL+       4    24   147   106     1     1     3    27     0
OVL+       5    36   127   106     0     1     3    39     0
OVL+       6   140   267   101     0     1     1   141     0
OVL+       7    40   295   101     0     1     3    43     0
OVL+       8    28   259    82     1     1     3    31     0
OVL+       9    24   387   106     1     1     3    27     0
OVL+      10    24   375   106     1     1     3    27     0
OVL+      11    28   315    72     0     1     2    30     0
OVL+      12    40   419    97     0     1     1    41     0
OVL+      13     6   491    83     1     1     3     9     0
OVL+      14    36   475    82     0     1     6    42     0
OVL+      15    24   547    96     1     1     3    27     0
OVL+      16    40   511    90     1     1     2    42     0
OVL+      17    32     7    86     0     1     3    35     0
BAR        0    24     0   -66     1     1     3    27     0
BAR        1    16    23   -59     0     1     2    18     0
BAR        2     9     3    52     0     1     3    12     0
BAR        3    24    51   -35     0     1     7    31     0
BAR        4    32    51   -59     0     1     7    39     0
BAR        5    70    71    45     0     1     3    73     0
BAR        6    24   119   -69     1     1     3    27     0
BAR        7    28   119     0     0     1     3    31     0
BAR        8     0     0     0     0     0     0     0     1
BAR        9    24   127    59     1     1     4    28     0
BAR       10    24   155   -66     0     1     7    31     0
BAR       11     0     0     0     0     0     0     0     1
BAR       12    40   179   -28     1     1     1    41     0
BAR       13   280   171    28     0     1     1   281     0
BAR       14    50   191   -45     0     1     3    53     0
BAR       15    70   227    25     1     1     1    71     0
BAR       16     0     0     0     0     0     0     0     1
BAR       17     0     0     0     0     0     0     0     1
BAR       18    16   279     8     1     1     7    23     0
BAR       19    10   279   -25     1     1     3    13     0
BAR       20    40   271    39     1     1     4    44     0
BAR       21    40   319   -31     0     1     4    44     0
BAR       22    28   343   -18     1     1     3    31     0
BAR       23     0     0     0     0     0     0     0     1
BAR       24    24   379   -45     0     1     7    31     0
BAR       25    24   379    21     0     1     5    29     0
BAR       26    32   387    45     1     1     6    38     0
BAR       27    80   427    -4     0     1     3    83     0
BAR       28    10   447   -39     0     1     3    13     0
BAR       29     0     0     0     0     0     0     0     1
BAR       30    16   459   -66     0     1     5    21     0
BAR       31    28   463     0     1     1     4    32     0
BAR       32    24   495    62     0     1     5    29     0
BAR       33    32   515     0     1     1     3    35     0
BAR       34    24   543    45     0     1     7    31     0
BAR       35    40   535   -45     0     1     3    43     0
OVL-       0    36    75   -90     0     1     2    38     0
OVL-       1    20    35   -72     0     1     5    25     0
OVL-       2    24    91  -101     1     1     3    27     0
OVL-       3    24   147   -72     0     1     2    26     0
OVL-       4    36   131  -106     1     1     1    37     0
OVL-       5    28   179   -86     1     1     3    31     0
OVL-       6    24   275   -80     1     1     6    30     0
OVL-       7    50   223   -97     1     1     1    51     0
OVL-       8    32   271  -101     0     1     1    33     0
OVL-       9    28   371   -86     0     1     3    31     0
OVL-      10    24   395   -96     0     1     3    27     0
OVL-      11    32   323   -72     0     1     2    34     0
OVL-      12    28   447   -96     1     1     3    31     0
OVL-      13     0     0     0     0     0     0     0     1
OVL-      14     0     0     0     0     0     0     0     1
OVL-      15    12   523   -92     0     1     3    15     0
OVL-      16    28   551   -83     0     1     3    31     0
OVL-      17    24   547  -101     1     1     3    27     0
FWD-       0    28    99  -210     0     1     3    31     0
FWD-       1    32    55  -160     1     1     3    35     0
FWD-       2     0     0     0     0     0     0     0     1
FWD-       3    24   135  -210     0     1     3    27     0
FWD-       4    24   187  -197     0     1     3    27     0
FWD-       5     0     0     0     0     0     0     0     1
FWD-       6     7   267  -197     0     1     3    10     0
FWD-       7     4   243  -201     0     1     1     5     0
FWD-       8    40   259  -124     1     1     3    43     0
FWD-       9   240   399  -197     0     1     1   241     0
FWD-      10    24   343  -110     1     1     1    25     0
FWD-      11    24   339  -170     1     1     3    27     0
FWD-      12    32   447  -147     1     1     2    34     0
FWD-      13   240   443  -206     1     1     3   243     0
FWD-      14     8   479  -120     1     1     3    11     0
FWD-      15   240    11  -210     0     1     3   243     0
FWD-      16    32     7  -188     0     1     3    35     0
FWD-      17    24   551  -165     0     1     3    27     0
# TRACKS
#TYPE   ETA0  PHI0 QUAL0  ETA1  PHI1 QUAL1  ETA2  PHI2 QUAL2
FTRK+    210    55     1   174    15     3   120    39     3
FTRK+    160    67     1   206    55     3   183    71     3
FTRK+    215    71     3   201    63     1   133    15     3
