################################################################################
# Pattern for testbench of the uGMT algo block
# Data format of muons:
# ID N PT PHI ETA CHARGE CHARGE_VALID QUALITY SORT EMPTY (ISO)
# where ID = {EMTF+/-, OMTF+/-, BMTF, OUT, EIMD, BIMD, OIMD}
# N is the rank for IMD / OUT and the link for inputs.
# ISO is optional and only present for OUT
#
# Data format for tracks:
# ID ETA0 PHI0 QUALITY0 ETA1 PHI1 QUALITY1 ETA2 PHI2 QUALITY2
# where ID = {ETRK+/-, OTRK+/-, BTRK}
# Tracks are given always for 3 consecutive muons
#
#
# Data format for output of serializer:
# ID VALID0 WORD0 VALID1 WORD1 ... VALIDN WORDN
# where ID = FRMx, x being the current 240 MHz cycle
# In WordX the X represents the link number, meaning that muon0 is x(FRM0, WORD0) + x(FRM1, WORD0) << 32.
################################################################################
# Event: 0
################################################################################
IFR0    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000040 1 00000000 1 00010000 1 00000000 1 00000000 1 00000000 1 00000400 1 00000000 1 00000800 1 00000400 1 00000000 1 00000000 1 00000400 1 00018020 1 00000042 1 00100000 1 00100020 1 00008020 1 00000000 1 00100000 1 04200020 1 00100000 1 04100000 1 00100420 1 02000000 1 00000000 1 00000000 1 00010000 1 9b9a4206 1 a1940204 1 a39ae6f0 1 8199261c 1 9b9806f0 1 8799c6f0 1 898d4618 1 a58c0618 1 998ca28c 1 a58d4618 1 858c2228 1 958c0618 1 8c37c618 1 8dbbae18 1 97b76618 1 83876818 1 85bc8228 1 85832246 1 87810e10 1 83bc2828 1 89ba6e18 1 89bf8650 1 81b7ca10 1 85800620 1 99b4c424 1 8db70418 1 9db60c18 1 9db5461c 1 93b4061c 1 89b4860c 1 a5a5c61c 1 87a5c618 1 99a76607 1 aba762f0 1 93ada420 1 a9a5c6f0
IFR1    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 06000040 1 00200040 1 00000000 1 00000020 1 00000000 1 00000400 1 0e000400 1 00100400 1 00008402 1 00000000 1 00000000 1 00000000 1 00100000 1 00000020 1 00000000 1 00000400 1 00000001 1 00001000 1 00000000 1 00008000 1 00000000 1 00000000 1 02000000 1 00008000 1 00008000 1 00000041 1 04000000 1 04000000 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000003 1 00000002 1 00000002 1 00000003 1 00000002 1 00000003 1 00000003 1 00000002 1 00000003 1 00000003 1 00000003 1 00000003 1 00000003 1 00000002 1 00000002 1 00000002 1 00000002 1 00000003 1 00000002 1 00000002 1 00000003 1 00000002 1 00000003 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000003 1 00000002
IFR2    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000840 1 00000000 1 00000000 1 00000002 1 00000002 1 00000000 1 00000000 1 00000000 1 06008001 1 00000000 1 00000000 1 00010000 1 00000000 1 00000000 1 02000000 1 00008000 1 02000020 1 00000000 1 00000000 1 00000020 1 00000000 1 00000000 1 00000000 1 02008021 1 00100060 1 00110000 1 00000080 1 00000000 1 0795c608 1 1b99c6f0 1 1f992204 1 17978618 1 019142f0 1 00000000 1 2d8a0646 1 0d8d4618 1 278ca628 1 1f8d4618 1 298a6606 1 038b4428 1 17b8a410 1 0db8ae20 1 1780061c 1 11b7ce18 1 01838318 1 00000000 1 07bce60a 1 0fbdc61c 1 0982aa18 1 13bb260a 1 0380081c 1 1385ae18 1 05b70a14 1 05b2c224 1 03b3e232 1 29b40618 1 00000000 1 17b5a61c 1 0fac0620 1 21a76618 1 0da6e204 1 0fb24218 1 11a646f0 1 27a88620
IFR3    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00200000 1 04000040 1 00210442 1 00000001 1 00100000 1 00000000 1 02000000 1 00008000 1 00000000 1 00000000 1 00000000 1 00000001 1 02100000 1 00000041 1 02000060 1 06100001 1 06000000 1 00008000 1 00000002 1 00000000 1 00100000 1 00000000 1 00000001 1 00000000 1 00000000 1 00000000 1 00010000 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000000 1 00000003 1 00000003 1 00000002 1 00000003 1 00000003 1 00000003 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000000 1 00000003 1 00000003 1 00000002 1 00000002 1 00000003 1 00000002 1 00000002 1 00000003 1 00000003 1 00000002 1 00000000 1 00000002 1 00000003 1 00000002 1 00000002 1 00000003 1 00000003 1 00000002
IFR4    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000080 1 00200000 1 04000020 1 04000000 1 00000000 1 00000020 1 00200000 1 00000020 1 00028002 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00018403 1 00001000 1 00000000 1 00002000 1 00100000 1 02600400 1 02000000 1 00000000 1 00008000 1 00000400 1 00000000 1 00000000 1 138f0620 1 2396e60c 1 0790a618 1 00000000 1 1199c205 1 00000000 1 198ac60e 1 038d4624 1 158a461c 1 0189041c 1 218a4c24 1 278ac620 1 0d868609 1 1785a646 1 00000000 1 00000000 1 0bba6632 1 00000000 1 0384e828 1 00000000 1 0d85ac20 1 00000000 1 1387ca18 1 0fba6628 1 21b36618 1 1db5461c 1 1bb36220 1 05b70420 1 00000000 1 15b36618 1 00000000 1 00000000 1 15b08628 1 0daac618 1 23b10608 1 17ab6618
IFR5    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 04400000 1 00000000 1 00000800 1 00201000 1 00200000 1 00000000 1 00300020 1 00000000 1 00008000 1 00000000 1 00000c00 1 00000000 1 00000000 1 00000001 1 00000401 1 00001400 1 00000000 1 00200800 1 00000000 1 00000000 1 00008000 1 00000000 1 00000000 1 02000422 1 02000441 1 00100400 1 00000000 1 00020000 1 00000003 1 00000002 1 00000002 1 00000000 1 00000002 1 00000000 1 00000003 1 00000002 1 00000003 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000000 1 00000000 1 00000002 1 00000000 1 00000003 1 00000000 1 00000003 1 00000000 1 00000002 1 00000002 1 00000003 1 00000003 1 00000002 1 00000002 1 00000000 1 00000003 1 00000000 1 00000000 1 00000003 1 00000003 1 00000003 1 00000002
# Expected emulator output
# Calo sums:
CALO0   0  2  0  0  0  0  0  2  0  0  0  3  0  2  2  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  4  2
CALO1   0  0  0  0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  2  0  0  0  0  0  0  0
CALO2   0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  2  0  1  0  0  0  2  0  0  2  0  0  0
CALO3   0  0  0  0  0  0  0  1  0  0  0  0  2  0  0  0  0  0  2  2  1  2  2  0  0  0  0  0  0  2  0  0  4  0  2  0
CALO4   0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0
CALO5   0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0
CALO6   0  0  1  0  0  0  0  0  1  0  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  1  0  0  3  0
CALO7   0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0
CALO8   0  0  2  0  0  0  2  0  1  1  0  0  1  0  0  1  0  3  0  0  0  1  0  0  2  0  0  5  0  0  0  0  0  1  0  0
CALO9   0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  0
CALO11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO12  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO13  0  1  0  3  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0
CALO14  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  2  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0
CALO15  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  3  0  0  0  1  0  0  0  0  0  0  0  0  5  0  0  0
CALO16  0  1  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  1  3  3  0  1  3  0  0  0  0  0  0  0  0
CALO17  0  1  0  1  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  4  0  0  0  0  0  2  0  2  0
CALO18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO19  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  2  0  0  0  0  0  0  0  8  0  0  0  0  0  0  0  0  0
CALO20  0  1  0  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
CALO21  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  6  1  0  0  0  0  0  0
CALO22  0  0  0  0  1  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
CALO23  0  1  1  0  1  0  0  0  0  1  0  0  1  1  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  2  1  1  0  0  1
CALO24  0  0  0  0  0  1  0  0  0  1  0  0  0  3  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  2  1  0  0  1
CALO25  0  0  0  0  0  0  1  2  0  0  0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0
CALO26  0  0  0  0  0  0  0  0  0  0  0  2  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO27  0  0  0  2  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  4  0  0
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO)
EMTF+       0     6    79   210     0     1     1     7     0
EMTF+       1     8    39   174     0     1     3    11     0
EMTF+       2    32    63   120     1     1     3    35     0
EMTF+       3     4   187   160     0     1     1     5     0
EMTF+       4   240   175   206     0     1     3   243     0
EMTF+       5    12   191   183     0     1     3    15     0
EMTF+       6   240   287   215     0     1     3   243     0
EMTF+       7     4   279   201     0     1     1     5     0
EMTF+       8    24   231   133     0     1     3    27     0
EMTF+       9    28   315   201     0     1     3    31     0
EMTF+      10    24   359   188     0     1     3    27     0
EMTF+      11     0     0     0     0     0     0     0     1
EMTF+      12   240   463   192     0     1     3   243     0
EMTF+      13   240   411   138     0     1     1   241     0
EMTF+      14     5   443   206     0     1     1     6     0
EMTF+      15   240   519   206     0     1     3   243     0
EMTF+      16     0     0     0     0     0     0     0     1
EMTF+      17     0     0     0     0     0     0     0     1
OMTF+       0    24    43   106     1     1     3    27     0
OMTF+       1    70   115    80     1     1     3    73     0
OMTF+       2    14    75    86     1     1     3    17     0
OMTF+       3    24   195    96     0     1     3    27     0
OMTF+       4    24   147   106     1     1     3    27     0
OMTF+       5    36   127   106     0     1     3    39     0
OMTF+       6   140   267   101     0     1     1   141     0
OMTF+       7    40   295   101     0     1     3    43     0
OMTF+       8    28   259    82     1     1     3    31     0
OMTF+       9    24   387   106     1     1     3    27     0
OMTF+      10    24   375   106     1     1     3    27     0
OMTF+      11    28   315    72     0     1     2    30     0
OMTF+      12    40   419    97     0     1     1    41     0
OMTF+      13     6   491    83     1     1     3     9     0
OMTF+      14    36   475    82     0     1     6    42     0
OMTF+      15    24   547    96     1     1     3    27     0
OMTF+      16    40   511    90     1     1     2    42     0
OMTF+      17    32     7    86     0     1     3    35     0
BMTF        0    24     0   -66     1     1     3    27     0
BMTF        1    16    23   -59     0     1     2    18     0
BMTF        2     9     3    52     0     1     3    12     0
BMTF        3    24    51   -35     0     1     7    31     0
BMTF        4    32    51   -59     0     1     7    39     0
BMTF        5    70    71    45     0     1     3    73     0
BMTF        6    24   119   -69     1     1     3    27     0
BMTF        7    28   119     0     0     1     3    31     0
BMTF        8     0     0     0     0     0     0     0     1
BMTF        9    24   127    59     1     1     4    28     0
BMTF       10    24   155   -66     0     1     7    31     0
BMTF       11     0     0     0     0     0     0     0     1
BMTF       12    40   179   -28     1     1     1    41     0
BMTF       13   280   171    28     0     1     1   281     0
BMTF       14    50   191   -45     0     1     3    53     0
BMTF       15    70   227    25     1     1     1    71     0
BMTF       16     0     0     0     0     0     0     0     1
BMTF       17     0     0     0     0     0     0     0     1
BMTF       18    16   279     8     1     1     7    23     0
BMTF       19    10   279   -25     1     1     3    13     0
BMTF       20    40   271    39     1     1     4    44     0
BMTF       21    40   319   -31     0     1     4    44     0
BMTF       22    28   343   -18     1     1     3    31     0
BMTF       23     0     0     0     0     0     0     0     1
BMTF       24    24   379   -45     0     1     7    31     0
BMTF       25    24   379    21     0     1     5    29     0
BMTF       26    32   387    45     1     1     6    38     0
BMTF       27    80   427    -4     0     1     3    83     0
BMTF       28    10   447   -39     0     1     3    13     0
BMTF       29     0     0     0     0     0     0     0     1
BMTF       30    16   459   -66     0     1     5    21     0
BMTF       31    28   463     0     1     1     4    32     0
BMTF       32    24   495    62     0     1     5    29     0
BMTF       33    32   515     0     1     1     3    35     0
BMTF       34    24   543    45     0     1     7    31     0
BMTF       35    40   535   -45     0     1     3    43     0
OMTF-       0    36    75   -90     0     1     2    38     0
OMTF-       1    20    35   -72     0     1     5    25     0
OMTF-       2    24    91  -101     1     1     3    27     0
OMTF-       3    24   147   -72     0     1     2    26     0
OMTF-       4    36   131  -106     1     1     1    37     0
OMTF-       5    28   179   -86     1     1     3    31     0
OMTF-       6    24   275   -80     1     1     6    30     0
OMTF-       7    50   223   -97     1     1     1    51     0
OMTF-       8    32   271  -101     0     1     1    33     0
OMTF-       9    28   371   -86     0     1     3    31     0
OMTF-      10    24   395   -96     0     1     3    27     0
OMTF-      11    32   323   -72     0     1     2    34     0
OMTF-      12    28   447   -96     1     1     3    31     0
OMTF-      13     0     0     0     0     0     0     0     1
OMTF-      14     0     0     0     0     0     0     0     1
OMTF-      15    12   523   -92     0     1     3    15     0
OMTF-      16    28   551   -83     0     1     3    31     0
OMTF-      17    24   547  -101     1     1     3    27     0
EMTF-       0    28    99  -210     0     1     3    31     0
EMTF-       1    32    55  -160     1     1     3    35     0
EMTF-       2     0     0     0     0     0     0     0     1
EMTF-       3    24   135  -210     0     1     3    27     0
EMTF-       4    24   187  -197     0     1     3    27     0
EMTF-       5     0     0     0     0     0     0     0     1
EMTF-       6     7   267  -197     0     1     3    10     0
EMTF-       7     4   243  -201     0     1     1     5     0
EMTF-       8    40   259  -124     1     1     3    43     0
EMTF-       9   240   399  -197     0     1     1   241     0
EMTF-      10    24   343  -110     1     1     1    25     0
EMTF-      11    24   339  -170     1     1     3    27     0
EMTF-      12    32   447  -147     1     1     2    34     0
EMTF-      13   240   443  -206     1     1     3   243     0
EMTF-      14     8   479  -120     1     1     3    11     0
EMTF-      15   240    11  -210     0     1     3   243     0
EMTF-      16    32     7  -188     0     1     3    35     0
EMTF-      17    24   551  -165     0     1     3    27     0
# TRACKS
#TYPE   ETA0  PHI0 QUAL0  ETA1  PHI1 QUAL1  ETA2  PHI2 QUAL2
ETRK+    210    55     1   174    15     3   120    39     3
ETRK+    160    67     1   206    55     3   183    71     3
ETRK+    215    71     3   201    63     1   133    15     3
ETRK+    201     3     3   188    47     3     0     0     0
ETRK+    192    55     3   138     3     1   206    35     1
ETRK+    206    15     3     0     0     0     0     0     0
OTRK+    106    19     3    80    91     3    86    51     3
OTRK+     96    75     3   106    27     3   106     7     3
OTRK+    101    51     1   101    79     3    82    43     3
OTRK+    106    75     3   106    63     3    72     3     2
OTRK+     97    11     1    83    83     3    82    67     6
OTRK+     96    43     3    90     7     2    86    79     3
BTRK     -66    24     3   -59    47     2    52    27     3
BTRK     -35    27     7   -59    27     7    45    47     3
BTRK     -69    47     3     0    47     3     0     0     0
BTRK      59     7     4   -66    35     7     0     0     0
BTRK     -28    11     1    28     3     1   -45    23     3
BTRK      25    11     1     0     0     0     0     0     0
BTRK       8    15     7   -25    15     3    39     7     4
BTRK     -31     7     4   -18    31     3     0     0     0
BTRK     -45    19     7    21    19     5    45    27     6
BTRK      -4    19     3   -39    39     3     0     0     0
BTRK     -66     3     5     0     7     4    62    39     5
BTRK       0    11     3    45    39     7   -45    31     3
OTRK-    -90    51     2   -72    11     5  -101    67     3
OTRK-    -72    27     2  -106    11     1   -86    59     3
OTRK-    -80    59     6   -97     7     1  -101    55     1
OTRK-    -86    59     3   -96    83     3   -72    11     2
OTRK-    -96    39     3     0     0     0     0     0     0
OTRK-    -92    19     3   -83    47     3  -101    43     3
ETRK-   -210    75     3  -160    31     3     0     0     0
ETRK-   -210    15     3  -197    67     3     0     0     0
ETRK-   -197    51     3  -201    27     1  -124    43     3
ETRK-   -197    87     1  -110    31     1  -170    27     3
ETRK-   -147    39     2  -206    35     3  -120    71     3
ETRK-   -210    83     3  -188    79     3  -165    47     3
################################################################################
# Event: 1
################################################################################
IFR6    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00100400 1 00000000 1 00000001 1 00000000 1 00000000 1 00000000 1 00000000 1 00000021 1 00000000 1 04000000 1 00010000 1 00000000 1 00000400 1 00000020 1 00000000 1 00000080 1 00001080 1 00100000 1 00100020 1 00000020 1 00200000 1 00000000 1 1b98a214 1 2b902228 1 11966607 1 03992246 1 1d9806f0 1 241a46f0 1 158c0620 1 258b4518 1 21890410 1 218c0718 1 098ac608 1 2b8b4c18 1 13b8a65a 1 0985a628 1 0fb84a18 1 03862820 1 0f85a718 1 0d80061c 1 00000000 1 07800624 1 09bea718 1 03b7c446 1 01bba420 1 07838418 1 0bb54620 1 07b60c0a 1 09b54646 1 17b3e224 1 03b4c464 1 11b4860a 1 27a5c618 1 2baa4624 1 23a526f0 1 0bada418 1 19aac628 1 0da76618
IFR7    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000800 1 00200000 1 00010000 1 00000000 1 00000001 1 00000400 1 00000000 1 00200000 1 00000000 1 00020001 1 00000000 1 00008020 1 00109400 1 02000000 1 00008000 1 00000001 1 00000000 1 00000000 1 00000000 1 00000000 1 00200000 1 00008400 1 00008000 1 00000040 1 00000800 1 00000000 1 00000002 1 00000002 1 00000003 1 00000003 1 00000002 1 00000003 1 00000003 1 00000002 1 00000003 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000002 1 00000003 1 00000003 1 00000003 1 00000000 1 00000002 1 00000002 1 00000003 1 00000002 1 00000002 1 00000002 1 00000003 1 00000002 1 00000002 1 00000003 1 00000002 1 00000002 1 00000003 1 00000002 1 00000003 1 00000002 1 00000002
IFR8    1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000000 1 04000000 1 00000000 1 00000000 1 00000000 1 00000000 1 00010000 1 00000000 1 00000040 1 00100000 1 00000000 1 00000000 1 00000000 1 00000000 1 00000020 1 00300000 1 00000000 1 00000001 1 00000000 1 00000000 1 00000000 1 00000400 1 00100000 1 00000000 1 00200000 1 00000000 1 8d9ae405 1 9b9a46f0 1 89992618 1 9b98a618 1 85966618 1 879ae6f0 1 af8d42f0 1 998b4428 1 998b4420 1 91890418 1 ab8c2606 1 958d4618 1 87bb265a 1 81bd6620 1 00000000 1 81bea43c 1 85808c0c 1 9585a609 1 00000000 1 87b7c618 1 00000000 1 8985a628 1 85bdc628 1 9785a678 1 99b70420 1 8bb2c61c 1 9fb54628 1 85b54614 1 9fb60c1c 1 a5b40c1c 1 8fa52207 1 87afe618 1 97a766f0 1 81a6e6f0 1 85a64624 1 85aec224
